episode,algorithm,alpha,gamma,epsilon_min,epsilon_decay,epsilon,return,fill_rate,lost_sales,avg_inventory
133,q_learning,0.2,0.99,0.03,0.999,0.8754068367770311,155.7506600000001,0.8279569892473119,656.0,47.30833333333333
134,q_learning,0.2,0.99,0.03,0.999,0.8745314299402541,143.44741200000016,0.8928909952606635,339.0,69.39166666666667
135,q_learning,0.2,0.99,0.03,0.999,0.8736568985103138,423.8824480000002,0.7616249361267245,933.0,25.883333333333333
136,q_learning,0.2,0.99,0.03,0.999,0.8727832416118035,554.3317480000002,0.828757225433526,711.0,48.90833333333333
137,q_learning,0.2,0.99,0.03,0.999,0.8719104583701917,444.83438400000006,0.844612885760693,574.0,52.75
138,q_learning,0.2,0.99,0.03,0.999,0.8710385479118216,-634.4522959999996,1.0,0.0,104.51666666666667
139,q_learning,0.2,0.99,0.03,0.999,0.8701675093639096,350.8321280000004,0.7911791179117912,928.0,42.5
140,q_learning,0.2,0.99,0.03,0.999,0.8692973418545458,649.3791520000002,0.815425023877746,773.0,42.233333333333334
141,q_learning,0.2,0.99,0.03,0.999,0.8684280445126912,-448.5667759999998,0.993581514762516,15.0,98.6
142,q_learning,0.2,0.99,0.03,0.999,0.8675596164681786,534.3106480000002,0.9392300349984092,191.0,72.7
143,q_learning,0.2,0.99,0.03,0.999,0.8666920568517104,931.8364320000002,0.870291843352457,520.0,58.516666666666666
144,q_learning,0.2,0.99,0.03,0.999,0.8658253647948586,433.3283320000002,0.8989527313897537,357.0,66.275
145,q_learning,0.2,0.99,0.03,0.999,0.8649595394300638,344.9731760000002,0.8121761658031088,725.0,45.6
146,q_learning,0.2,0.99,0.03,0.999,0.8640945798906338,527.2958040000001,0.9272669016340916,227.0,73.04166666666667
147,q_learning,0.2,0.99,0.03,0.999,0.8632304853107431,-7.139191999999788,0.9795246800731261,56.0,86.06666666666666
148,q_learning,0.2,0.99,0.03,0.999,0.8623672548254323,146.33099600000006,0.9021372328458943,261.0,83.275
149,q_learning,0.2,0.99,0.03,0.999,0.861504887570607,99.39331200000012,0.9205359925210346,255.0,77.1
150,q_learning,0.2,0.99,0.03,0.999,0.8606433826830363,-270.2305519999998,0.991636798088411,21.0,88.81666666666666
151,q_learning,0.2,0.99,0.03,0.999,0.8597827393003533,495.1369040000002,0.7958011049723757,924.0,43.016666666666666
152,q_learning,0.2,0.99,0.03,0.999,0.8589229565610529,226.7641000000003,0.8896897524287057,352.0,69.40833333333333
153,q_learning,0.2,0.99,0.03,0.999,0.8580640336044919,156.95369200000022,0.8181069958847736,663.0,59.225
154,q_learning,0.2,0.99,0.03,0.999,0.8572059695708873,-321.6899399999998,0.8078518991382062,602.0,72.44166666666666
155,q_learning,0.2,0.99,0.03,0.999,0.8563487636013165,483.8980600000003,0.9292063492063493,223.0,68.95833333333333
156,q_learning,0.2,0.99,0.03,0.999,0.8554924148377152,-460.89306399999987,1.0,0.0,95.21666666666667
157,q_learning,0.2,0.99,0.03,0.999,0.8546369224228775,-354.41301199999964,1.0,0.0,101.225
158,q_learning,0.2,0.99,0.03,0.999,0.8537822855004545,613.543064,0.8746168849261633,450.0,55.15
159,q_learning,0.2,0.99,0.03,0.999,0.8529285032149541,-49.58707999999993,0.8472584856396866,468.0,74.71666666666667
160,q_learning,0.2,0.99,0.03,0.999,0.8520755747117391,-346.5441799999997,0.9804329725228976,47.0,98.49166666666666
161,q_learning,0.2,0.99,0.03,0.999,0.8512234991370274,-635.3672679999997,0.9925925925925926,17.0,96.15833333333333
162,q_learning,0.2,0.99,0.03,0.999,0.8503722756378904,-178.5793759999998,0.9579423010079945,121.0,88.21666666666667
163,q_learning,0.2,0.99,0.03,0.999,0.8495219033622525,386.67856799999987,0.8481865284974093,586.0,50.95
164,q_learning,0.2,0.99,0.03,0.999,0.8486723814588902,349.9114720000003,0.9115820241139935,242.0,68.18333333333334
165,q_learning,0.2,0.99,0.03,0.999,0.8478237090774313,-151.7117079999998,0.992887029288703,17.0,88.35833333333333
166,q_learning,0.2,0.99,0.03,0.999,0.8469758853683539,308.9082000000001,0.9136253041362531,213.0,73.8
167,q_learning,0.2,0.99,0.03,0.999,0.8461289094829856,729.5266960000005,0.9579062957540263,115.0,66.26666666666667
168,q_learning,0.2,0.99,0.03,0.999,0.8452827805735026,108.23273600000014,0.8932624113475177,301.0,77.15
169,q_learning,0.2,0.99,0.03,0.999,0.8444374977929291,58.76368000000036,0.9584487534626038,120.0,90.55
170,q_learning,0.2,0.99,0.03,0.999,0.8435930602951361,510.9789240000002,0.8807857911733046,443.0,60.175
171,q_learning,0.2,0.99,0.03,0.999,0.842749467234841,603.4268720000002,0.9562091503267974,134.0,65.7
172,q_learning,0.2,0.99,0.03,0.999,0.8419067177676062,206.62589600000015,0.69958440530378,1518.0,15.716666666666667
173,q_learning,0.2,0.99,0.03,0.999,0.8410648110498385,29.93952000000021,0.7711286089238845,872.0,40.3
174,q_learning,0.2,0.99,0.03,0.999,0.8402237462387887,344.863392,0.8109506946336148,694.0,42.43333333333333
175,q_learning,0.2,0.99,0.03,0.999,0.8393835224925499,-854.5158800000003,1.0,0.0,109.03333333333333
176,q_learning,0.2,0.99,0.03,0.999,0.8385441389700574,182.73320000000015,1.0,0.0,90.78333333333333
177,q_learning,0.2,0.99,0.03,0.999,0.8377055948310873,-422.21480399999984,0.9309494451294698,168.0,83.175
178,q_learning,0.2,0.99,0.03,0.999,0.8368678892362562,679.9617,0.8631525595539787,540.0,52.141666666666666
179,q_learning,0.2,0.99,0.03,0.999,0.83603102134702,182.8488160000004,0.9839292888710326,40.0,90.16666666666667
180,q_learning,0.2,0.99,0.03,0.999,0.8351949903256729,-473.6789439999997,0.9614733276883997,91.0,97.21666666666667
181,q_learning,0.2,0.99,0.03,0.999,0.8343597953353473,1249.9613079999997,0.9341757272994416,224.0,51.125
182,q_learning,0.2,0.99,0.03,0.999,0.8335254355400119,335.95243199999993,0.7442969722107009,1233.0,25.9
183,q_learning,0.2,0.99,0.03,0.999,0.832691910104472,57.58732000000026,1.0,0.0,103.46666666666667
184,q_learning,0.2,0.99,0.03,0.999,0.8318592181943675,-310.41586,0.9036876355748373,222.0,82.325
185,q_learning,0.2,0.99,0.03,0.999,0.8310273589761731,173.77034800000024,0.9030821917808219,283.0,81.75833333333334
186,q_learning,0.2,0.99,0.03,0.999,0.8301963316171969,197.53956000000022,0.9911861917003305,24.0,87.5
187,q_learning,0.2,0.99,0.03,0.999,0.8293661352855797,737.6859320000001,0.9284667253004983,244.0,57.125
188,q_learning,0.2,0.99,0.03,0.999,0.8285367691502942,341.5501600000002,0.8870757180156658,346.0,71.25
189,q_learning,0.2,0.99,0.03,0.999,0.8277082323811439,523.7219320000005,0.7956415388036469,919.0,33.19166666666667
190,q_learning,0.2,0.99,0.03,0.999,0.8268805241487627,249.66821200000012,0.9831152384972562,40.0,79.175
191,q_learning,0.2,0.99,0.03,0.999,0.826053643624614,-9.835531999999823,0.756117679406104,887.0,44.425
192,q_learning,0.2,0.99,0.03,0.999,0.8252275899809893,673.0215720000003,0.8109479305740988,708.0,42.24166666666667
193,q_learning,0.2,0.99,0.03,0.999,0.8244023623910083,242.34078000000014,0.7341999103541013,1186.0,30.675
194,q_learning,0.2,0.99,0.03,0.999,0.8235779600286173,691.4845800000005,0.9718859820382663,72.0,69.25833333333334
195,q_learning,0.2,0.99,0.03,0.999,0.8227543820685886,5.966132000000222,0.8681702668360864,415.0,74.60833333333333
196,q_learning,0.2,0.99,0.03,0.999,0.8219316276865201,467.1147959999998,0.8807264841420439,440.0,59.325
197,q_learning,0.2,0.99,0.03,0.999,0.8211096960588335,475.4754240000002,0.9493087557603687,143.0,73.81666666666666
198,q_learning,0.2,0.99,0.03,0.999,0.8202885863627748,58.551896000000156,0.9836261980830671,41.0,99.55
199,q_learning,0.2,0.99,0.03,0.999,0.819468297776412,769.0363480000007,0.884204909284952,434.0,53.525
200,q_learning,0.2,0.99,0.03,0.999,0.8186488294786356,252.94741600000012,0.9004784688995215,312.0,78.9
201,q_learning,0.2,0.99,0.03,0.999,0.8178301806491569,126.66986000000011,0.8617541571568308,424.0,60.675
202,q_learning,0.2,0.99,0.03,0.999,0.8170123504685077,347.6911720000001,0.9995993589743589,1.0,91.85833333333333
203,q_learning,0.2,0.99,0.03,0.999,0.8161953381180392,544.6541520000002,0.8697441928844457,443.0,57.68333333333333
204,q_learning,0.2,0.99,0.03,0.999,0.8153791427799212,356.6740880000003,0.9469415343021291,157.0,73.1
205,q_learning,0.2,0.99,0.03,0.999,0.8145637636371413,-121.47554799999983,0.9677536231884057,89.0,93.20833333333333
206,q_learning,0.2,0.99,0.03,0.999,0.8137491998735041,-80.8127840000001,0.9814733127481253,42.0,84.85
207,q_learning,0.2,0.99,0.03,0.999,0.8129354506736306,404.33721600000024,0.8673684210526316,441.0,58.583333333333336
208,q_learning,0.2,0.99,0.03,0.999,0.812122515222957,49.20405600000035,0.9571271528032246,117.0,90.8
209,q_learning,0.2,0.99,0.03,0.999,0.8113103927077341,384.3950920000002,0.9530577088716624,109.0,73.90833333333333
210,q_learning,0.2,0.99,0.03,0.999,0.8104990823150263,462.56339600000035,0.8084210526315789,819.0,43.175
211,q_learning,0.2,0.99,0.03,0.999,0.8096885832327113,669.2176320000003,0.83247909360669,621.0,40.71666666666667
212,q_learning,0.2,0.99,0.03,0.999,0.8088788946494786,102.80776800000018,0.9015384615384615,256.0,76.03333333333333
213,q_learning,0.2,0.99,0.03,0.999,0.8080700157548291,-6.512679999999936,0.910054844606947,246.0,71.8
214,q_learning,0.2,0.99,0.03,0.999,0.8072619457390743,569.0216480000003,0.8804100227790432,420.0,55.416666666666664
215,q_learning,0.2,0.99,0.03,0.999,0.8064546837933352,977.2182920000002,0.9489324870167339,177.0,67.175
216,q_learning,0.2,0.99,0.03,0.999,0.8056482291095418,372.1358720000001,0.9956784788245462,10.0,84.68333333333334
217,q_learning,0.2,0.99,0.03,0.999,0.8048425808804324,409.3952640000002,0.9326424870466321,195.0,73.55
218,q_learning,0.2,0.99,0.03,0.999,0.8040377382995519,742.49524,0.8755513547574039,395.0,48.1
219,q_learning,0.2,0.99,0.03,0.999,0.8032337005612523,890.5425920000005,0.81290037552463,847.0,29.166666666666668
220,q_learning,0.2,0.99,0.03,0.999,0.8024304668606911,1061.8969920000006,0.8273990447242727,795.0,26.433333333333334
221,q_learning,0.2,0.99,0.03,0.999,0.8016280363938304,17.47619200000012,0.7982047872340425,607.0,62.43333333333333
222,q_learning,0.2,0.99,0.03,0.999,0.8008264083574366,418.79016800000005,0.8941219423147134,290.0,63.4
223,q_learning,0.2,0.99,0.03,0.999,0.8000255819490791,65.95177200000022,0.9041146216017634,261.0,75.15833333333333
224,q_learning,0.2,0.99,0.03,0.999,0.79922555636713,-63.17700799999989,0.7355684396269221,1049.0,35.88333333333333
225,q_learning,0.2,0.99,0.03,0.999,0.7984263308107629,676.6315040000003,0.9888157894736842,34.0,86.88333333333334
226,q_learning,0.2,0.99,0.03,0.999,0.7976279044799521,209.17495200000025,0.9396813353566009,159.0,78.93333333333334
227,q_learning,0.2,0.99,0.03,0.999,0.7968302765754722,722.1320840000005,0.8886297376093294,382.0,55.075
228,q_learning,0.2,0.99,0.03,0.999,0.7960334462988967,-136.31354399999992,0.829072105716748,595.0,69.85
229,q_learning,0.2,0.99,0.03,0.999,0.7952374128525979,130.3940320000002,0.7758620689655172,858.0,39.483333333333334
230,q_learning,0.2,0.99,0.03,0.999,0.7944421754397453,834.4555119999999,0.8084350721420643,863.0,28.3
231,q_learning,0.2,0.99,0.03,0.999,0.7936477332643055,1015.2024960000002,0.9338963308095516,227.0,62.916666666666664
